drug_a,drug_b,severity,description,raw_text
CODEINE SULFATE,Examples,unknown,"Paroxetine, fluoxetine, bupropion, quinidine. Benzodiazepines and Other Central Nervous System (CNS) Depressants Clinical Impact: Due to additive pharmacologic effect, the concomitant use of benzodiazepines or other CNS depressants, including alcohol, can increase the risk of hypotension, respiratory depression, profound sedation, coma, and death. Intervention: Reserve concomitant prescribing of these drugs for use in patients for whom alternative treatment options are inadequate","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Examples,unknown,"Benzodiazepines and other sedatives/hypnotics, anxiolytics, tranquilizers, muscle relaxants, general anesthetics, antipsychotics, gabapentinoids (gabapentin or pregabalin), other opioids, alcohol. Serotonergic Drugs Clinical Impact: The concomitant use of opioids with other drugs that affect the serotonergic neurotransmitter system has resulted in serotonin syndrome. Intervention: If concomitant use is warranted, frequently evaluate the patient, particularly during treatment initiation and dose adjustment","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Examples,unknown,"Selective serotonin reuptake inhibitors (SSRIs), serotonin and norepinephrine reuptake inhibitors (SNRIs), tricyclic antidepressants (TCAs), triptans, 5-HT3 receptor antagonists, drugs that effect the serotonin neurotransmitter system (e.g., mirtazapine, trazodone, tramadol), certain muscle relaxants (i","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Clinical Impact,moderate,"MAOI interactions with opioids may manifest as serotonin syndrome or opioid toxicity (e.g., respiratory depression, coma) [see Warnings and Precautions ( 5","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Intervention,moderate,"Do not use Codeine Sulfate Tablets in patients taking MAOIs or within 14 days of stopping such treatment. If urgent use of an opioid is necessary, use test doses and frequent titration of small doses of other opioids (such as oxycodone, hydrocodone, oxymorphone, hydrocodone, or buprenorphine) to treat pain while closely monitoring blood pressure and signs and symptoms of CNS and respiratory depression. Examples: Phenelzine, tranylcypromine, linezolid","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Antagonist and Partial Agonist Opioid Analgesics Clinical Impact,unknown,"May reduce the analgesic effect of Codeine Sulfate Tablets and/or precipitate withdrawal symptoms. Intervention: Avoid concomitant use. Examples: Butorphanol, nalbuphine, pentazocine, buprenorphine","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Muscle Relaxants Clinical Impact,unknown,"Codeine may enhance the neuromuscular blocking action of skeletal muscle relaxants and produce an increased degree of respiratory depression. Intervention: Because respiratory depression may be greater than otherwise expected, decrease the dosage of Codeine Sulfate Tablets and/or the muscle relaxant as necessary. Due to the risk of respiratory depression with concomitant use of skeletal muscle relaxants and opioids, consider recommending or prescribing an opioid overdose reversal agent [see Dosage and Administration ( 2","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Examples,unknown,"Cyclobenzaprine, metaxalone. Diuretics Clinical Impact: Opioids can reduce the efficacy of diuretics by inducing the release of antidiuretic hormone. Intervention: Evaluate patients for signs of diminished diuresis and/or effects on blood pressure and increase the dosage of the diuretic as needed","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Anticholinergic Drugs Clinical Impact,major,"The concomitant use of anticholinergic drugs may increase risk of urinary retention and/or severe constipation, which may lead to paralytic ileus. Intervention: Evaluate patients for signs of urinary retention or reduced gastric motility when Codeine Sulfate Tablets are used concomitantly with anticholinergic drugs. • Serotonergic Drugs: Concomitant use may result in serotonin syndrome","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
CODEINE SULFATE,Antagonist and Partial Agonist Opioid Analgesics,unknown,Avoid use with Codeine Sulfate Tablets because they may reduce analgesic effect of Codeine Sulfate Tablets or precipitate withdrawal symptoms. ( 7 ),"7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with Codeine Sulfate Tablets. Table 1: Clinically Significant Drug Interactions with Codeine Sulfate Tablets Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Codeine Sulfate Tablets with CYP3A4 inhibitors, may result in an increase in codeine plasma concentrations with subsequently greater metabolism by cytochrome CYP2D6, resulting in greater morphine levels, which could increase or prolong adverse reaction"
